date,open,high,low,close,volume
2017-06-16,9.770000,9.840000,9.760000,9.830000,103600
2017-06-19,9.800000,9.810000,9.780000,9.790000,50600
2017-06-20,9.770000,9.770000,9.710000,9.740000,91000
2017-06-21,9.600000,9.600000,9.440000,9.470000,510800
2017-06-22,9.350000,9.350000,9.250000,9.280000,408216
2017-06-23,9.370000,9.400000,9.350000,9.350000,150400
2017-06-26,9.470000,9.550000,9.470000,9.530000,233600
2017-06-27,9.500000,9.560000,9.490000,9.560000,60200
2017-06-28,9.630000,9.670000,9.570000,9.590000,252000
2017-06-29,9.690000,9.900000,9.690000,9.880000,274800
2017-06-30,9.860000,9.900000,9.860000,9.890000,133400
2017-07-03,10.080000,10.120000,10.060000,10.080000,496200
2017-07-04,10.200000,10.240000,10.180000,10.220000,471400
2017-07-05,10.260000,10.260000,10.220000,10.260000,445600
2017-07-06,10.160000,10.160000,9.850000,9.910000,815200
2017-07-07,9.770000,9.820000,9.750000,9.750000,179800
2017-07-10,9.640000,9.730000,9.620000,9.630000,125400
2017-07-11,9.650000,10.280000,9.650000,9.690000,122000
2017-07-12,9.940000,10.000000,9.940000,10.000000,246200
2017-07-13,9.880000,9.890000,9.850000,9.860000,36000
2017-07-14,10.000000,10.020000,9.990000,10.000000,57200
2017-07-17,10.140000,10.180000,10.120000,10.180000,411216
2017-07-18,10.020000,10.040000,10.000000,10.000000,226400
2017-07-19,10.060000,10.080000,10.060000,10.080000,43600
2017-07-20,10.220000,10.240000,10.220000,10.220000,196400
2017-07-21,10.160000,10.180000,10.140000,10.180000,37800
2017-07-24,9.900000,9.930000,9.850000,9.880000,146000
2017-07-25,10.100000,10.100000,10.080000,10.080000,103000
2017-07-26,10.300000,10.500000,10.300000,10.480000,692200
2017-07-27,10.500000,10.560000,10.500000,10.500000,252000
2017-07-28,10.560000,10.600000,10.560000,10.600000,351200
2017-07-31,10.740000,10.780000,10.740000,10.780000,167000
2017-08-01,10.800000,10.880000,10.800000,10.860000,308600
2017-08-02,10.580000,10.580000,10.520000,10.520000,46400
2017-08-03,10.680000,10.680000,10.640000,10.640000,27600
2017-08-04,10.540000,10.560000,10.520000,10.520000,67600
2017-08-07,10.680000,10.700000,10.640000,10.640000,143600
2017-08-08,10.620000,10.720000,10.620000,10.720000,168800
2017-08-09,10.600000,10.600000,10.560000,10.600000,66200
2017-08-10,10.680000,10.740000,10.680000,10.740000,41400
2017-08-11,10.480000,10.500000,10.380000,10.400000,97200
2017-08-14,10.500000,10.540000,10.500000,10.500000,45400
2017-08-15,10.320000,10.320000,10.240000,10.240000,45800
2017-08-16,10.280000,10.340000,10.280000,10.340000,13000
2017-08-17,10.140000,10.260000,10.100000,10.120000,110200
2017-08-18,10.180000,10.220000,10.160000,10.220000,146400
2017-08-21,10.460000,10.480000,10.440000,10.440000,72400
2017-08-22,10.280000,10.300000,10.260000,10.300000,13800
2017-08-23,10.300000,10.300000,10.300000,10.300000,0
2017-08-24,10.380000,10.400000,10.380000,10.400000,19800
2017-08-25,10.280000,10.300000,10.280000,10.280000,42200
2017-08-28,10.280000,10.280000,10.200000,10.200000,199800
2017-08-29,10.100000,10.100000,10.060000,10.080000,198400
2017-08-30,10.020000,10.020000,9.980000,9.980000,162000
2017-08-31,9.920000,10.000000,9.900000,9.900000,131600
2017-09-01,10.140000,10.140000,10.100000,10.100000,51200
2017-09-04,10.200000,10.220000,10.180000,10.180000,139800
2017-09-05,10.220000,10.240000,10.200000,10.240000,37400
2017-09-06,10.380000,10.500000,10.380000,10.500000,160800
2017-09-07,10.560000,10.620000,10.540000,10.620000,349400
2017-09-08,10.600000,10.600000,10.540000,10.540000,34200
2017-09-11,10.320000,10.320000,10.280000,10.280000,62400
2017-09-12,10.280000,10.360000,10.280000,10.360000,168400
2017-09-13,10.380000,10.380000,10.380000,10.380000,121800
2017-09-14,10.400000,10.600000,10.400000,10.580000,195200
2017-09-15,10.700000,10.700000,10.640000,10.640000,128600
2017-09-18,10.720000,10.800000,10.720000,10.800000,96600
2017-09-19,10.720000,10.800000,10.700000,10.780000,166000
2017-09-20,10.700000,10.700000,10.680000,10.720000,52200
2017-09-21,10.780000,10.820000,10.760000,10.760000,82400
2017-09-22,10.780000,10.780000,10.760000,10.780000,55600
2017-09-25,10.760000,10.760000,10.720000,10.740000,110000
2017-09-26,10.960000,11.140000,10.960000,11.060000,299000
2017-09-27,11.100000,11.140000,11.080000,11.100000,107800
2017-09-28,11.100000,11.100000,11.040000,11.060000,147800
2017-09-29,10.960000,10.980000,10.920000,10.960000,125400
2017-10-03,10.740000,10.780000,10.720000,10.780000,18400
2017-10-04,10.660000,10.700000,10.660000,10.700000,26000
