ex_date,pay_date,cash_before_tax
2015-07-09,2015-07-09,0.09601
2015-09-18,2015-09-18,0.06247
2016-06-08,2016-06-08,0.02486
2016-09-21,2016-09-21,0.02131
2017-06-22,2017-06-22,0.03801
2017-09-15,2017-09-15,0.06926
2018-06-21,2018-06-21,0.06074
2018-09-21,2018-09-21,0.0888
2019-06-28,2019-06-28,0.09
2019-09-24,2019-09-24,0.07765
2020-06-30,2020-06-30,0.06601
2020-09-22,2020-09-22,0.08742
2021-06-29,2021-06-29,0.08742
2021-09-17,2021-09-17,0.1304
2022-06-28,2022-06-28,0.09622
2022-09-20,2022-09-20,0.20258
2023-06-28,2023-06-28,0.22
2023-09-20,2023-09-20,0.21
2024-06-26,2024-06-26,0.23
2024-09-19,2024-09-19,0.22
2025-06-25,2025-06-25,0.25
2025-09-17,2025-09-17,0.22
2026-06-26,2026-06-26,0.25
